Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:33:39

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
133.0000      	75187.9699    	2603.50000    
134.0000      	74626.8657    	2618.69995    
135.0000      	74074.0741    	2621.69995    
136.0000      	73529.4118    	2609.00000    
137.0000      	72992.7007    	2605.10010    
138.0000      	72463.7681    	2616.80005    
139.0000      	71942.4460    	2610.50000    
140.0000      	71428.5714    	2627.39990    
141.0000      	70921.9858    	2638.50000    
142.0000      	70422.5352    	2637.19995    
143.0000      	69930.0699    	2597.69995    
144.0000      	69444.4444    	2595.30005    
145.0000      	68965.5172    	2625.00000    
146.0000      	68493.1507    	2621.19995    
147.0000      	68027.2109    	2603.00000    
148.0000      	67567.5676    	2616.10010    
149.0000      	67114.0940    	2588.30005    
150.0000      	66666.6667    	2614.19995    
151.0000      	66225.1656    	2639.50000    
152.0000      	65789.4737    	2620.60010    
153.0000      	65359.4771    	2587.19995    
154.0000      	64935.0649    	2616.19995    
155.0000      	64516.1290    	2621.10010    
156.0000      	64102.5641    	2608.39990    
157.0000      	63694.2675    	2601.19995    
158.0000      	63291.1392    	2598.19995    
159.0000      	62893.0818    	2606.10010    
160.0000      	62500.0000    	2630.30005    
161.0000      	62111.8012    	2649.69995    
162.0000      	61728.3951    	2609.50000    
163.0000      	61349.6933    	2591.00000    
164.0000      	60975.6098    	2619.19995    
165.0000      	60606.0606    	2631.00000    
166.0000      	60240.9639    	2606.10010    
167.0000      	59880.2395    	2631.89990    
168.0000      	59523.8095    	2639.60010    
169.0000      	59171.5976    	2612.19995    
170.0000      	58823.5294    	2604.19995    
171.0000      	58479.5322    	2616.89990    
172.0000      	58139.5349    	2603.50000    
173.0000      	57803.4682    	2630.39990    
174.0000      	57471.2644    	2612.10010    
175.0000      	57142.8571    	2593.39990    
176.0000      	56818.1818    	2623.00000    
177.0000      	56497.1751    	2711.10010    
178.0000      	56179.7753    	2588.69995    
179.0000      	55865.9218    	2605.69995    
180.0000      	55555.5556    	2623.30005    
181.0000      	55248.6188    	2597.10010    
182.0000      	54945.0549    	2612.19995    
183.0000      	54644.8087    	2610.69995    
184.0000      	54347.8261    	2615.30005    
185.0000      	54054.0541    	2624.10010    
186.0000      	53763.4409    	2603.00000    
187.0000      	53475.9358    	2601.69995    
188.0000      	53191.4894    	2620.19995    
189.0000      	52910.0529    	2596.39990    
190.0000      	52631.5789    	2606.69995    
191.0000      	52356.0209    	2621.39990    
192.0000      	52083.3333    	2720.19995    
193.0000      	51813.4715    	2626.10010    
194.0000      	51546.3918    	2680.00000    
195.0000      	51282.0513    	2621.10010    
196.0000      	51020.4082    	2599.50000    
197.0000      	50761.4213    	2602.19995    
198.0000      	50505.0505    	2642.69995    
199.0000      	50251.2563    	2612.60010    
200.0000      	50000.0000    	2598.89990    
201.0000      	49751.2438    	2625.39990    
202.0000      	49504.9505    	2615.80005    
203.0000      	49261.0837    	2601.19995    
204.0000      	49019.6078    	2597.80005    
205.0000      	48780.4878    	2613.89990    
206.0000      	48543.6893    	2603.00000    
207.0000      	48309.1787    	2611.69995    
208.0000      	48076.9231    	2613.10010    
209.0000      	47846.8900    	2592.00000    
210.0000      	47619.0476    	2634.00000    
211.0000      	47393.3649    	2616.69995    
212.0000      	47169.8113    	2617.30005    
213.0000      	46948.3568    	2631.10010    
214.0000      	46728.9720    	2687.80005    
215.0000      	46511.6279    	2620.39990    
216.0000      	46296.2963    	2631.30005    
217.0000      	46082.9493    	2627.60010    
218.0000      	45871.5596    	2598.39990    
219.0000      	45662.1005    	2609.30005    
220.0000      	45454.5455    	2629.69995    
221.0000      	45248.8688    	2661.19995    
222.0000      	45045.0450    	2598.80005    
223.0000      	44843.0493    	2610.80005    
224.0000      	44642.8571    	2600.89990    
225.0000      	44444.4444    	2615.30005    
226.0000      	44247.7876    	2617.69995    
227.0000      	44052.8634    	2622.80005    
228.0000      	43859.6491    	2604.69995    
229.0000      	43668.1223    	2628.80005    
230.0000      	43478.2609    	2638.19995    
231.0000      	43290.0433    	2614.50000    
232.0000      	43103.4483    	2622.39990    
233.0000      	42918.4549    	2625.69995    
234.0000      	42735.0427    	2591.89990    
235.0000      	42553.1915    	2603.19995    
236.0000      	42372.8814    	2611.80005    
237.0000      	42194.0928    	2621.50000    
238.0000      	42016.8067    	2668.19995    
239.0000      	41841.0042    	2605.69995    
240.0000      	41666.6667    	2629.60010    
241.0000      	41493.7759    	2636.60010    
242.0000      	41322.3140    	2664.39990    
243.0000      	41152.2634    	2602.69995    
244.0000      	40983.6066    	2638.60010    
245.0000      	40816.3265    	2608.69995    
246.0000      	40650.4065    	2634.30005    
247.0000      	40485.8300    	2618.80005    
248.0000      	40322.5806    	2621.19995    
249.0000      	40160.6426    	2604.60010    
250.0000      	40000.0000    	2608.39990    
251.0000      	39840.6375    	2617.60010    
252.0000      	39682.5397    	2607.00000    
253.0000      	39525.6917    	2674.89990    
254.0000      	39370.0787    	2636.00000    
255.0000      	39215.6863    	2595.30005    
256.0000      	39062.5000    	2593.10010    
257.0000      	38910.5058    	2634.10010    
258.0000      	38759.6899    	2627.10010    
259.0000      	38610.0386    	2615.89990    
260.0000      	38461.5385    	2621.30005    
261.0000      	38314.1762    	2611.30005    
262.0000      	38167.9389    	2618.89990    
263.0000      	38022.8137    	2615.69995    
264.0000      	37878.7879    	2606.80005    
265.0000      	37735.8491    	2625.89990    
266.0000      	37593.9850    	2606.60010    
267.0000      	37453.1835    	2620.50000    
268.0000      	37313.4328    	2604.30005    
269.0000      	37174.7212    	2602.69995    
270.0000      	37037.0370    	2618.50000    
271.0000      	36900.3690    	2624.89990    
272.0000      	36764.7059    	2631.60010    
273.0000      	36630.0366    	2625.30005    
274.0000      	36496.3504    	2629.50000    
275.0000      	36363.6364    	2615.19995    
276.0000      	36231.8841    	2629.89990    
277.0000      	36101.0830    	2639.00000    
278.0000      	35971.2230    	2617.89990    
279.0000      	35842.2939    	2623.69995    
280.0000      	35714.2857    	2637.50000    
281.0000      	35587.1886    	2620.00000    
282.0000      	35460.9929    	2606.19995    
283.0000      	35335.6890    	2586.19995    
284.0000      	35211.2676    	2606.80005    
285.0000      	35087.7193    	2626.39990    
286.0000      	34965.0350    	2618.00000    
287.0000      	34843.2056    	2616.00000    
288.0000      	34722.2222    	2588.39990    
289.0000      	34602.0761    	2624.19995    
290.0000      	34482.7586    	2621.89990    
291.0000      	34364.2612    	2613.30005    
292.0000      	34246.5753    	2620.00000    
293.0000      	34129.6928    	2616.39990    
294.0000      	34013.6054    	2628.19995    
295.0000      	33898.3051    	2630.30005    
296.0000      	33783.7838    	2630.50000    
297.0000      	33670.0337    	2700.60010    
298.0000      	33557.0470    	2586.80005    
299.0000      	33444.8161    	2604.89990    
300.0000      	33333.3333    	2623.19995    
301.0000      	33222.5914    	2642.30005    
302.0000      	33112.5828    	2597.69995    
303.0000      	33003.3003    	2621.89990    
304.0000      	32894.7368    	2608.80005    
305.0000      	32786.8852    	2637.10010    
306.0000      	32679.7386    	2621.19995    
307.0000      	32573.2899    	2593.19995    
308.0000      	32467.5325    	2614.60010    
309.0000      	32362.4595    	2641.00000    
310.0000      	32258.0645    	2603.19995    
311.0000      	32154.3408    	2618.60010    
312.0000      	32051.2821    	2620.60010    
313.0000      	31948.8818    	2582.69995    
314.0000      	31847.1338    	2607.30005    
315.0000      	31746.0317    	2630.60010    
316.0000      	31645.5696    	2604.00000    
317.0000      	31545.7413    	2618.00000    
318.0000      	31446.5409    	2611.39990    
319.0000      	31347.9624    	2603.30005    
320.0000      	31250.0000    	2645.69995    
321.0000      	31152.6480    	2613.69995    
322.0000      	31055.9006    	2606.69995    
323.0000      	30959.7523    	2610.60010    
324.0000      	30864.1975    	2658.39990    
325.0000      	30769.2308    	2609.80005    
326.0000      	30674.8466    	2610.10010    
327.0000      	30581.0398    	2629.80005    
328.0000      	30487.8049    	2625.10010    
329.0000      	30395.1368    	2616.10010    
330.0000      	30303.0303    	2640.80005    
331.0000      	30211.4804    	2605.00000    
332.0000      	30120.4819    	2598.50000    
333.0000      	30030.0300    	2657.39990    
334.0000      	29940.1198    	2619.39990    
335.0000      	29850.7463    	2621.10010    
336.0000      	29761.9048    	2600.80005    
337.0000      	29673.5905    	2602.50000    
338.0000      	29585.7988    	2613.19995    
339.0000      	29498.5251    	2611.69995    
340.0000      	29411.7647    	2624.69995    
341.0000      	29325.5132    	2601.89990    
342.0000      	29239.7661    	2604.30005    
343.0000      	29154.5190    	2638.00000    
344.0000      	29069.7674    	2643.00000    
345.0000      	28985.5072    	2663.19995    
346.0000      	28901.7341    	2616.00000    
347.0000      	28818.4438    	2623.19995    
348.0000      	28735.6322    	2623.50000    
349.0000      	28653.2951    	2657.60010    
350.0000      	28571.4286    	2739.80005    
351.0000      	28490.0285    	2660.60010    
352.0000      	28409.0909    	2614.69995    
353.0000      	28328.6119    	2616.89990    
354.0000      	28248.5876    	2589.39990    
355.0000      	28169.0141    	2618.30005    
356.0000      	28089.8876    	2610.80005    
357.0000      	28011.2045    	2776.80005    
358.0000      	27932.9609    	2777.50000    
359.0000      	27855.1532    	2661.39990    
360.0000      	27777.7778    	2685.80005    
361.0000      	27700.8310    	2632.89990    
362.0000      	27624.3094    	2707.00000    
363.0000      	27548.2094    	2614.00000    
364.0000      	27472.5275    	2627.50000    
365.0000      	27397.2603    	2616.60010    
366.0000      	27322.4044    	2648.50000    
367.0000      	27247.9564    	2657.89990    
368.0000      	27173.9130    	2671.00000    
369.0000      	27100.2710    	2711.39990    
370.0000      	27027.0270    	2635.10010    
371.0000      	26954.1779    	2660.00000    
372.0000      	26881.7204    	2687.30005    
373.0000      	26809.6515    	2617.19995    
374.0000      	26737.9679    	2649.89990    
375.0000      	26666.6667    	2614.69995    
376.0000      	26595.7447    	2634.00000    
377.0000      	26525.1989    	2605.80005    
378.0000      	26455.0265    	2610.30005    
379.0000      	26385.2243    	2625.89990    
380.0000      	26315.7895    	2730.39990    
381.0000      	26246.7192    	2808.10010    
382.0000      	26178.0105    	2641.60010    
383.0000      	26109.6606    	2642.80005    
384.0000      	26041.6667    	2618.10010    
385.0000      	25974.0260    	2684.80005    
386.0000      	25906.7358    	2664.39990    
387.0000      	25839.7933    	3920.00000    
388.0000      	25773.1959    	4082.50000    
389.0000      	25706.9409    	2834.39990    
390.0000      	25641.0256    	2802.50000    
391.0000      	25575.4476    	2670.89990    
392.0000      	25510.2041    	2630.89990    
393.0000      	25445.2926    	2630.10010    
394.0000      	25380.7107    	2627.19995    
395.0000      	25316.4557    	2854.50000    
396.0000      	25252.5253    	2721.69995    
397.0000      	25188.9169    	2628.00000    
398.0000      	25125.6281    	2629.10010    
399.0000      	25062.6566    	2617.39990    
400.0000      	25000.0000    	2700.69995    
401.0000      	24937.6559    	3538.00000    
402.0000      	24875.6219    	3294.30005    
403.0000      	24813.8958    	2769.69995    
404.0000      	24752.4752    	2759.39990    
405.0000      	24691.3580    	2628.39990    
406.0000      	24630.5419    	2628.89990    
407.0000      	24570.0246    	2610.30005    
408.0000      	24509.8039    	2616.19995    
409.0000      	24449.8778    	2616.39990    
410.0000      	24390.2439    	2628.00000    
411.0000      	24330.9002    	3045.39990    
412.0000      	24271.8447    	2768.19995    
413.0000      	24213.0751    	2736.00000    
414.0000      	24154.5894    	2719.19995    
415.0000      	24096.3855    	2635.89990    
416.0000      	24038.4615    	2655.30005    
417.0000      	23980.8153    	2630.50000    
418.0000      	23923.4450    	2619.80005    
419.0000      	23866.3484    	2609.80005    
420.0000      	23809.5238    	2642.69995    
421.0000      	23752.9691    	2629.89990    
422.0000      	23696.6825    	2629.19995    
423.0000      	23640.6619    	2618.30005    
424.0000      	23584.9057    	2644.39990    
425.0000      	23529.4118    	2666.60010    
426.0000      	23474.1784    	2700.10010    
427.0000      	23419.2037    	2664.80005    
428.0000      	23364.4860    	2646.80005    
429.0000      	23310.0233    	2631.69995    
430.0000      	23255.8140    	2616.19995    
431.0000      	23201.8561    	2638.89990    
432.0000      	23148.1481    	2646.89990    
433.0000      	23094.6882    	2667.69995    
434.0000      	23041.4747    	2626.60010    
435.0000      	22988.5057    	2613.10010    
436.0000      	22935.7798    	2603.80005    
437.0000      	22883.2952    	2646.19995    
438.0000      	22831.0502    	3074.89990    
439.0000      	22779.0433    	2751.80005    
440.0000      	22727.2727    	2665.60010    
