Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:26:09

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
133.0000      	75187.9699    	2691.50000    
134.0000      	74626.8657    	2708.89990    
135.0000      	74074.0741    	2694.60010    
136.0000      	73529.4118    	2701.00000    
137.0000      	72992.7007    	2721.30005    
138.0000      	72463.7681    	2684.10010    
139.0000      	71942.4460    	2697.80005    
140.0000      	71428.5714    	2684.19995    
141.0000      	70921.9858    	2685.00000    
142.0000      	70422.5352    	2684.89990    
143.0000      	69930.0699    	2695.50000    
144.0000      	69444.4444    	2694.39990    
145.0000      	68965.5172    	2716.50000    
146.0000      	68493.1507    	2690.80005    
147.0000      	68027.2109    	2695.00000    
148.0000      	67567.5676    	2719.10010    
149.0000      	67114.0940    	2698.19995    
150.0000      	66666.6667    	2697.69995    
151.0000      	66225.1656    	2687.00000    
152.0000      	65789.4737    	2684.10010    
153.0000      	65359.4771    	2717.00000    
154.0000      	64935.0649    	2711.10010    
155.0000      	64516.1290    	2699.30005    
156.0000      	64102.5641    	2705.10010    
157.0000      	63694.2675    	2701.50000    
158.0000      	63291.1392    	2694.30005    
159.0000      	62893.0818    	2703.19995    
160.0000      	62500.0000    	2709.69995    
161.0000      	62111.8012    	2694.00000    
162.0000      	61728.3951    	2692.39990    
163.0000      	61349.6933    	2690.69995    
164.0000      	60975.6098    	2682.80005    
165.0000      	60606.0606    	2694.50000    
166.0000      	60240.9639    	2680.10010    
167.0000      	59880.2395    	2697.50000    
168.0000      	59523.8095    	2685.19995    
169.0000      	59171.5976    	2688.30005    
170.0000      	58823.5294    	2681.50000    
171.0000      	58479.5322    	2689.39990    
172.0000      	58139.5349    	2701.60010    
173.0000      	57803.4682    	2675.19995    
174.0000      	57471.2644    	2691.00000    
175.0000      	57142.8571    	2666.39990    
176.0000      	56818.1818    	2703.00000    
177.0000      	56497.1751    	2782.39990    
178.0000      	56179.7753    	2685.39990    
179.0000      	55865.9218    	2685.30005    
180.0000      	55555.5556    	2690.89990    
181.0000      	55248.6188    	2696.89990    
182.0000      	54945.0549    	2676.00000    
