Unit Serial No : SM245-KSP200281-EU
Integration Time : 200 ms
Time Average: 5
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 09/30/2022   15:00:10

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
512.0000      	19531.2500    	3177.80005    
513.0000      	19493.1774    	3227.39990    
514.0000      	19455.2529    	3216.80005    
515.0000      	19417.4757    	3274.80005    
516.0000      	19379.8450    	3276.60010    
517.0000      	19342.3598    	3282.00000    
518.0000      	19305.0193    	3369.60010    
519.0000      	19267.8227    	3525.39990    
520.0000      	19230.7692    	3509.00000    
521.0000      	19193.8580    	3422.19995    
522.0000      	19157.0881    	3408.80005    
523.0000      	19120.4589    	3370.60010    
524.0000      	19083.9695    	3515.80005    
525.0000      	19047.6190    	3416.80005    
526.0000      	19011.4068    	3374.39990    
527.0000      	18975.3321    	3387.60010    
528.0000      	18939.3939    	3405.39990    
529.0000      	18903.5917    	3419.00000    
530.0000      	18867.9245    	3438.00000    
531.0000      	18832.3917    	3349.60010    
532.0000      	18796.9925    	3363.39990    
533.0000      	18761.7261    	3572.80005    
534.0000      	18726.5918    	3399.39990    
535.0000      	18691.5888    	3333.00000    
536.0000      	18656.7164    	3337.80005    
537.0000      	18621.9739    	3386.39990    
538.0000      	18587.3606    	3323.39990    
539.0000      	18552.8757    	3326.60010    
540.0000      	18518.5185    	3361.19995    
541.0000      	18484.2884    	3299.19995    
542.0000      	18450.1845    	3523.39990    
543.0000      	18416.2063    	3424.39990    
544.0000      	18382.3529    	3380.80005    
545.0000      	18348.6239    	3360.19995    
546.0000      	18315.0183    	3390.39990    
547.0000      	18281.5356    	3408.60010    
548.0000      	18248.1752    	3309.00000    
549.0000      	18214.9362    	3259.00000    
550.0000      	18181.8182    	3288.00000    
551.0000      	18148.8203    	3266.19995    
552.0000      	18115.9420    	3261.00000    
553.0000      	18083.1826    	3244.00000    
554.0000      	18050.5415    	3208.19995    
555.0000      	18018.0180    	3227.60010    
