Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:34:46

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
133.0000      	75187.9699    	2611.50000    
134.0000      	74626.8657    	2614.00000    
135.0000      	74074.0741    	2582.69995    
136.0000      	73529.4118    	2612.00000    
137.0000      	72992.7007    	2613.89990    
138.0000      	72463.7681    	2604.69995    
139.0000      	71942.4460    	2627.19995    
140.0000      	71428.5714    	2592.80005    
141.0000      	70921.9858    	2595.30005    
142.0000      	70422.5352    	2642.89990    
143.0000      	69930.0699    	2610.19995    
144.0000      	69444.4444    	2622.10010    
145.0000      	68965.5172    	2626.39990    
146.0000      	68493.1507    	2594.50000    
147.0000      	68027.2109    	2621.80005    
148.0000      	67567.5676    	2625.00000    
149.0000      	67114.0940    	2604.30005    
150.0000      	66666.6667    	2609.00000    
151.0000      	66225.1656    	2622.80005    
152.0000      	65789.4737    	2601.50000    
153.0000      	65359.4771    	2626.60010    
154.0000      	64935.0649    	2625.89990    
155.0000      	64516.1290    	2598.69995    
156.0000      	64102.5641    	2591.80005    
157.0000      	63694.2675    	2605.60010    
158.0000      	63291.1392    	2600.10010    
159.0000      	62893.0818    	2621.69995    
160.0000      	62500.0000    	2617.30005    
161.0000      	62111.8012    	2604.60010    
162.0000      	61728.3951    	2613.10010    
163.0000      	61349.6933    	2589.80005    
164.0000      	60975.6098    	2615.50000    
165.0000      	60606.0606    	2609.80005    
166.0000      	60240.9639    	2628.10010    
167.0000      	59880.2395    	2592.00000    
168.0000      	59523.8095    	2613.80005    
169.0000      	59171.5976    	2602.80005    
170.0000      	58823.5294    	2602.19995    
171.0000      	58479.5322    	2617.19995    
172.0000      	58139.5349    	2620.60010    
173.0000      	57803.4682    	2620.10010    
174.0000      	57471.2644    	2614.00000    
175.0000      	57142.8571    	2608.30005    
176.0000      	56818.1818    	2606.39990    
177.0000      	56497.1751    	2731.00000    
178.0000      	56179.7753    	2601.50000    
179.0000      	55865.9218    	2627.10010    
180.0000      	55555.5556    	2594.00000    
181.0000      	55248.6188    	2601.69995    
182.0000      	54945.0549    	2604.69995    
183.0000      	54644.8087    	2600.39990    
184.0000      	54347.8261    	2613.19995    
185.0000      	54054.0541    	2607.00000    
186.0000      	53763.4409    	2603.39990    
187.0000      	53475.9358    	2600.30005    
188.0000      	53191.4894    	2610.19995    
189.0000      	52910.0529    	2594.19995    
190.0000      	52631.5789    	2587.69995    
191.0000      	52356.0209    	2594.50000    
192.0000      	52083.3333    	2703.89990    
193.0000      	51813.4715    	2614.50000    
194.0000      	51546.3918    	2663.30005    
195.0000      	51282.0513    	2621.69995    
196.0000      	51020.4082    	2607.89990    
197.0000      	50761.4213    	2598.50000    
198.0000      	50505.0505    	2609.30005    
199.0000      	50251.2563    	2610.80005    
200.0000      	50000.0000    	2591.19995    
201.0000      	49751.2438    	2615.39990    
202.0000      	49504.9505    	2618.50000    
203.0000      	49261.0837    	2618.00000    
204.0000      	49019.6078    	2592.00000    
205.0000      	48780.4878    	2610.39990    
206.0000      	48543.6893    	2606.00000    
