Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
840  	520.5074      	19212.0210    	2788    
841  	520.9912      	19194.1818    	2852    
842  	521.4750      	19176.3734    	2824    
843  	521.9589      	19158.5980    	2840    
844  	522.4428      	19140.8510    	2825    
845  	522.9268      	19123.1369    	2785    
846  	523.4108      	19105.4534    	2840    
847  	523.8948      	19087.8003    	2784    
848  	524.3789      	19070.1798    	2820    
849  	524.8630      	19052.5895    	2793    
850  	525.3472      	19035.0295    	2781    
851  	525.8315      	19017.4996    	2801    
852  	526.3158      	18999.9998    	2808    
853  	526.8001      	18982.5321    	2833    
854  	527.2845      	18965.0921    	2896    
855  	527.7690      	18947.6842    	2876    
856  	528.2535      	18930.3060    	2858    
857  	528.7380      	18912.9596    	2876    
858  	529.2226      	18895.6407    	2912    
859  	529.7072      	18878.3534    	3002    
860  	530.1919      	18861.0956    	3098    
861  	530.6766      	18843.8671    	3233    
862  	531.1614      	18826.6701    	3409    
863  	531.6462      	18809.5001    	3824    
864  	532.1311      	18792.3614    	5483    
865  	532.6160      	18775.2517    	38201   
866  	533.1010      	18758.1711    	65535   
867  	533.5860      	18741.1214    	37733   
868  	534.0711      	18724.0985    	6680    
869  	534.5562      	18707.1065    	3401    
870  	535.0414      	18690.1431    	3053    
871  	535.5266      	18673.2105    	2916    
872  	536.0118      	18656.3043    	2889    
873  	536.4971      	18639.4286    	2908    
874  	536.9825      	18622.5814    	2904    
875  	537.4679      	18605.7625    	2792    
876  	537.9534      	18588.9718    	2800    
877  	538.4388      	18572.2114    	2792    
878  	538.9244      	18555.4770    	2801    
879  	539.4100      	18538.7727    	2817    
880  	539.8956      	18522.0984    	2825    
881  	540.3813      	18505.4500    	2749    
882  	540.8671      	18488.8314    	2797    
883  	541.3529      	18472.2385    	2792    
884  	541.8387      	18455.6754    	2826    
885  	542.3246      	18439.1419    	2821    
886  	542.8105      	18422.6339    	2821    
887  	543.2965      	18406.1555    	2817    
888  	543.7825      	18389.7044    	2816    
889  	544.2686      	18373.2806    	2785    
890  	544.7548      	18356.8841    	2804    
891  	545.2409      	18340.5168    	2779    
892  	545.7272      	18324.1746    	2800    
893  	546.2134      	18307.8615    	2832    
894  	546.6998      	18291.5753    	2864    
895  	547.1861      	18275.3182    	2784    
896  	547.6725      	18259.0858    	2792    
897  	548.1590      	18242.8822    	2728    
898  	548.6455      	18226.7053    	2804    
899  	549.1321      	18210.5551    	2737    
900  	549.6187      	18194.4335    	2749    
901  	550.1053      	18178.3363    	2739    
902  	550.5920      	18162.2676    	2777    
903  	551.0788      	18146.2253    	2845    
904  	551.5656      	18130.2093    	2738    
905  	552.0524      	18114.2215    	2772    
906  	552.5393      	18098.2599    	2785    
907  	553.0262      	18082.3245    	2756    
908  	553.5132      	18066.4150    	2803    
909  	554.0003      	18050.5316    	2804    
910  	554.4874      	18034.6760    	2841    
911  	554.9745      	18018.8443    	2808    
912  	555.4617      	18003.0404    	2729    
913  	555.9489      	17987.2642    	2820    
914  	556.4362      	17971.5117    	2762    
915  	556.9235      	17955.7867    	2792    
916  	557.4109      	17940.0873    	2741    
917  	557.8983      	17924.4133    	2773    
918  	558.3858      	17908.7648    	2737    
919  	558.8733      	17893.1435    	2754    
920  	559.3609      	17877.5456    	2809    
921  	559.8485      	17861.9748    	2776    
922  	560.3362      	17846.4292    	2853    
923  	560.8239      	17830.9106    	2712    
924  	561.3116      	17815.4152    	2820    
925  	561.7994      	17799.9466    	2791    
926  	562.2873      	17784.5029    	2840    
927  	562.7751      	17769.0860    	2774    
928  	563.2631      	17753.6920    	2805    
929  	563.7511      	17738.3246    	2776    
930  	564.2391      	17722.9819    	2803    
931  	564.7272      	17707.6638    	2738    
