Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1    	132.6255      	75400.2706    	2729    
2    	133.0654      	75151.0337    	2808    
3    	133.5053      	74903.4048    	2832    
4    	133.9452      	74657.3770    	2745    
5    	134.3853      	74412.9263    	2833    
6    	134.8253      	74170.0377    	2829    
7    	135.2655      	73928.7044    	2738    
8    	135.7056      	73688.9034    	2760    
9    	136.1459      	73450.6202    	2795    
10   	136.5862      	73213.8484    	2754    
11   	137.0265      	72978.5658    	2806    
12   	137.4669      	72744.7582    	2863    
13   	137.9074      	72512.4119    	2872    
14   	138.3479      	72281.5212    	2784    
15   	138.7885      	72052.0724    	2841    
16   	139.2292      	71824.0364    	2739    
17   	139.6698      	71597.4157    	2781    
18   	140.1106      	71372.1896    	2876    
19   	140.5514      	71148.3528    	2816    
20   	140.9922      	70925.8850    	2766    
21   	141.4332      	70704.7735    	2837    
22   	141.8741      	70485.0060    	2779    
23   	142.3152      	70266.5779    	2820    
24   	142.7562      	70049.4769    	2819    
25   	143.1974      	69833.6762    	2872    
26   	143.6386      	69619.1788    	2800    
27   	144.0798      	69405.9656    	2839    
28   	144.5211      	69194.0325    	2796    
29   	144.9625      	68983.3607    	2817    
30   	145.4039      	68773.9389    	2856    
31   	145.8454      	68565.7562    	2830    
32   	146.2869      	68358.8086    	2825    
33   	146.7285      	68153.0782    	2865    
34   	147.1702      	67948.5612    	2848    
35   	147.6118      	67745.2400    	2923    
36   	148.0536      	67543.1041    	2915    
37   	148.4954      	67342.1501    	2848    
38   	148.9373      	67142.3608    	2869    
39   	149.3792      	66943.7261    	2856    
40   	149.8212      	66746.2361    	2783    
41   	150.2632      	66549.8875    	2774    
42   	150.7053      	66354.6707    	2816    
43   	151.1474      	66160.5623    	2876    
44   	151.5896      	65967.5664    	2893    
45   	152.0319      	65775.6734    	2788    
46   	152.4742      	65584.8607    	2871    
47   	152.9166      	65395.1323    	2912    
48   	153.3590      	65206.4791    	2859    
49   	153.8015      	65018.8788    	2835    
50   	154.2440      	64832.3358    	2738    
51   	154.6866      	64646.8409    	2844    
52   	155.1293      	64462.3727    	2851    
53   	155.5719      	64278.9417    	2830    
54   	156.0147      	64096.5203    	2816    
55   	156.4575      	63915.1127    	2801    
56   	156.9004      	63734.7043    	2937    
57   	157.3433      	63555.2868    	2804    
58   	157.7863      	63376.8582    	2830    
59   	158.2293      	63199.4043    	2846    
60   	158.6724      	63022.9231    	2798    
61   	159.1156      	62847.4008    	2760    
62   	159.5588      	62672.8294    	2851    
63   	160.0020      	62499.2073    	2805    
64   	160.4453      	62326.5207    	2855    
65   	160.8887      	62154.7623    	2759    
66   	161.3321      	61983.9303    	2820    
67   	161.7756      	61814.0115    	2832    
68   	162.2192      	61644.9985    	2836    
69   	162.6628      	61476.8900    	2837    
70   	163.1064      	61309.6729    	2866    
71   	163.5501      	61143.3459    	2846    
72   	163.9939      	60977.8905    	2872    
73   	164.4377      	60813.3169    	2785    
74   	164.8815      	60649.6011    	2849    
75   	165.3255      	60486.7478    	2820    
76   	165.7695      	60324.7444    	2816    
77   	166.2135      	60163.5900    	2802    
78   	166.6576      	60003.2723    	2793    
79   	167.1017      	59843.7849    	2785    
80   	167.5459      	59685.1267    	2815    
81   	167.9902      	59527.2860    	2862    
82   	168.4345      	59370.2618    	2830    
83   	168.8789      	59214.0424    	2832    
84   	169.3233      	59058.6216    	2784    
85   	169.7678      	58903.9935    	2770    
86   	170.2123      	58750.1571    	2792    
87   	170.6569      	58597.1064    	2733    
88   	171.1015      	58444.8251    	2806    
89   	171.5462      	58293.3176    	2813    
90   	171.9910      	58142.5781    	2816    
91   	172.4358      	57992.5957    	2814    
92   	172.8807      	57843.3647    	2835    
93   	173.3256      	57694.8793    	2824    
94   	173.7706      	57547.1392    	2807    
95   	174.2156      	57400.1337    	2883    
96   	174.6607      	57253.8624    	2872    
97   	175.1059      	57108.3147    	2802    
98   	175.5510      	56963.4903    	2905    
99   	175.9963      	56819.3739    	2824    
100  	176.4416      	56675.9752    	2825    
101  	176.8870      	56533.2740    	2846    
102  	177.3324      	56391.2750    	2872    
103  	177.7779      	56249.9683    	2849    
104  	178.2234      	56109.3537    	2786    
105  	178.6690      	55969.4211    	2887    
106  	179.1146      	55830.1705    	2821    
107  	179.5603      	55691.5874    	2759    
108  	180.0061      	55553.6812    	2825    
109  	180.4519      	55416.4329    	2824    
110  	180.8978      	55279.8471    	2832    
111  	181.3437      	55143.9189    	2848    
112  	181.7896      	55008.6345    	2832    
113  	182.2357      	54873.9985    	2857    
114  	182.6817      	54740.0063    	2808    
115  	183.1279      	54606.6486    	2813    
116  	183.5741      	54473.9210    	2793    
117  	184.0203      	54341.8235    	2840    
118  	184.4666      	54210.3472    	2821    
119  	184.9130      	54079.4877    	2824    
120  	185.3594      	53949.2451    	2793    
121  	185.8059      	53819.6107    	2820    
122  	186.2524      	53690.5846    	2805    
123  	186.6990      	53562.1581    	2840    
124  	187.1456      	53434.3272    	2866    
125  	187.5923      	53307.0919    	2918    
126  	188.0390      	53180.4439    	2794    
127  	188.4858      	53054.3833    	2826    
128  	188.9327      	52928.9019    	2832    
129  	189.3796      	52803.9956    	2812    
130  	189.8266      	52679.6648    	2808    
131  	190.2736      	52555.9012    	2854    
132  	190.7207      	52432.7052    	2904    
133  	191.1678      	52310.0687    	2804    
134  	191.6150      	52187.9879    	2775    
135  	192.0622      	52066.4632    	2830    
136  	192.5095      	51945.4867    	2828    
137  	192.9568      	51825.0588    	2815    
