Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1    	132.6255      	75400.2706    	3052    
2    	133.0654      	75151.0337    	3193    
3    	133.5053      	74903.4048    	3151    
4    	133.9452      	74657.3770    	3159    
5    	134.3853      	74412.9263    	3192    
6    	134.8253      	74170.0377    	3192    
7    	135.2655      	73928.7044    	3209    
8    	135.7056      	73688.9034    	3264    
9    	136.1459      	73450.6202    	3156    
10   	136.5862      	73213.8484    	3152    
11   	137.0265      	72978.5658    	3155    
12   	137.4669      	72744.7582    	3204    
13   	137.9074      	72512.4119    	3144    
14   	138.3479      	72281.5212    	3120    
15   	138.7885      	72052.0724    	3152    
16   	139.2292      	71824.0364    	3144    
17   	139.6698      	71597.4157    	3102    
18   	140.1106      	71372.1896    	3115    
19   	140.5514      	71148.3528    	3209    
20   	140.9922      	70925.8850    	3174    
21   	141.4332      	70704.7735    	3140    
22   	141.8741      	70485.0060    	3173    
23   	142.3152      	70266.5779    	3186    
24   	142.7562      	70049.4769    	3178    
25   	143.1974      	69833.6762    	3200    
26   	143.6386      	69619.1788    	3210    
27   	144.0798      	69405.9656    	3213    
28   	144.5211      	69194.0325    	3204    
29   	144.9625      	68983.3607    	3190    
30   	145.4039      	68773.9389    	3165    
31   	145.8454      	68565.7562    	3271    
32   	146.2869      	68358.8086    	3180    
33   	146.7285      	68153.0782    	3174    
34   	147.1702      	67948.5612    	3179    
35   	147.6118      	67745.2400    	3232    
36   	148.0536      	67543.1041    	3223    
37   	148.4954      	67342.1501    	3204    
38   	148.9373      	67142.3608    	3096    
39   	149.3792      	66943.7261    	3228    
40   	149.8212      	66746.2361    	3117    
41   	150.2632      	66549.8875    	3142    
42   	150.7053      	66354.6707    	3101    
43   	151.1474      	66160.5623    	3194    
44   	151.5896      	65967.5664    	3208    
45   	152.0319      	65775.6734    	3177    
46   	152.4742      	65584.8607    	3128    
47   	152.9166      	65395.1323    	3111    
48   	153.3590      	65206.4791    	3256    
49   	153.8015      	65018.8788    	3280    
50   	154.2440      	64832.3358    	3218    
51   	154.6866      	64646.8409    	3208    
52   	155.1293      	64462.3727    	3168    
53   	155.5719      	64278.9417    	3140    
54   	156.0147      	64096.5203    	3182    
55   	156.4575      	63915.1127    	3228    
56   	156.9004      	63734.7043    	3254    
57   	157.3433      	63555.2868    	3278    
58   	157.7863      	63376.8582    	3243    
59   	158.2293      	63199.4043    	3211    
60   	158.6724      	63022.9231    	3168    
61   	159.1156      	62847.4008    	3198    
62   	159.5588      	62672.8294    	3105    
63   	160.0020      	62499.2073    	3098    
64   	160.4453      	62326.5207    	3204    
65   	160.8887      	62154.7623    	3201    
66   	161.3321      	61983.9303    	3206    
67   	161.7756      	61814.0115    	3212    
68   	162.2192      	61644.9985    	3217    
69   	162.6628      	61476.8900    	3113    
70   	163.1064      	61309.6729    	3120    
71   	163.5501      	61143.3459    	3180    
72   	163.9939      	60977.8905    	3197    
73   	164.4377      	60813.3169    	3213    
