[C:\Users\Physics-Lab\Desktop\Programs\Hyun\R-Tmeasurement-4pt_325.exe 1 1 221125_cl.dat 1e-2 30 300 3 ]

Time(sec)	Temperature(K)	     Resistance(Ohm)	    Current(A)  TempError(K)	ResError(Ohm)	CurrError(A)
2.364	300.2	3.15E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
5.42	300.22	2.87E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
7.774	300.5	3.05E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
10.147	300.84	3.02E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
12.547	301.19	3.11E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
14.948	301.51	3.10E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
17.353	301.8	3.26E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
19.75	302.06	3.17E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
22.152	302.28	3.23E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
24.551	302.49	3.01E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
26.954	302.68	3.15E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
29.359	302.85	3.09E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
31.758	303.01	3.18E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
34.154	303.16	3.09E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
36.556	303.29	3.14E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
38.953	303.41	3.18E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
41.356	303.52	3.21E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
43.753	303.62	3.18E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
46.154	303.71	3.16E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
48.554	303.79	3.32E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
50.956	303.86	3.10E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
53.359	303.92	3.05E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
55.757	303.98	3.06E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
58.156	304.03	3.08E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
60.557	304.07	3.31E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
62.957	304.1	3.13E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
65.361	304.13	3.11E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
67.758	304.16	3.13E-03	1.00E-02	0	0.00000000e+000   0.0000e+000	
