theta,I
2,16.5
2.1,19.7
2.2,17.4
2.3,21.5
2.4,16.9
2.5,15.8
2.6,16.5
2.7,15.5
2.8,17.6
2.9,18.6
3,18.2
3.1,19.5
3.2,18.4
3.3,17.5
3.4,22.3
3.5,24
3.6,24.7
3.7,25.2
3.8,32.5
3.9,31
4,31.8
4.1,35.4
4.2,38.3
4.3,40.2
4.4,39.4
4.5,40.5
4.6,47.1
4.7,49.3
4.8,47.7
4.9,53.6
5,46.2
5.1,55.6
5.2,54.9
5.3,57.2
5.4,58.7
5.5,60.5
5.6,67.9
5.7,65.7
5.8,65.1
5.9,70.7
6,68.7
6.1,78.7
6.2,78.1
6.3,82.6
6.4,87.5
6.5,91.3
6.6,98
6.7,101.3
6.8,96.4
6.9,100.1
7,105.8
7.1,109.8
7.2,122.7
7.3,121.7
7.4,124.1
7.5,121.6
7.6,124.7
7.7,123.3
7.8,125.2
7.9,123.1
8,121.9
8.1,134.5
8.2,123.8
8.3,124.4
8.4,125.1
8.5,127.8
8.6,121.2
8.7,115.7
8.8,123
8.9,118.8
9,120
9.1,120.9
9.2,114.6
9.3,117.2
9.4,112.2
9.5,111.8
9.6,118.3
9.7,118.5
9.8,115.4
9.9,120.2
10,116.6
10.1,114.5
10.2,121
10.3,117.7
10.4,113.5
10.5,119.6
10.6,115.6
10.7,118.4
10.8,115.3
10.9,119.1
11,118.3
11.1,117.1
11.2,118.1
11.3,113.9
11.4,121.2
11.5,123
11.6,115.6
11.7,121.2
11.8,118.3
11.9,118.5
12,125
12.1,125.4
12.2,116
12.3,119.7
12.4,122.2
12.5,120.1
12.6,115.2
12.7,114.3
12.8,122.2
12.9,115.5
13,121.7
13.1,117
13.2,120.5
13.3,114.9
13.4,113.2
13.5,118.2
13.6,119
13.7,117.9
13.8,116
13.9,115.3
14,114.9
14.1,113.1
14.2,120.3
14.3,117.2
14.4,115.7
14.5,115.2
14.6,119.8
14.7,112.9
14.8,119.8
14.9,111.9
15,118.2
15.1,115.9
15.2,114.5
15.3,111.7
15.4,117.1
15.5,120.7
15.6,120.9
15.7,108.1
15.8,117.3
15.9,107.2
16,113.4
16.1,112.1
16.2,113.7
16.3,112.8
16.4,115.8
16.5,114.2
16.6,114.7
16.7,111.4
16.8,112
16.9,110.7
17,112.3
17.1,114.7
17.2,108.7
17.3,107.8
17.4,103.9
17.5,112.7
17.6,111
17.7,109.8
17.8,112.7
17.9,114.8
18,112.8
18.1,111.2
18.2,113.1
18.3,114.6
18.4,101.8
18.5,110.4
18.6,106.5
18.7,108.2
18.8,106.2
18.9,110.2
19,103.8
19.1,103.7
19.2,105.1
19.3,115.4
19.4,107.6
19.5,99.5
19.6,104.3
19.7,103.5
19.8,105
19.9,98.1
20,100.8
20.1,103.4
20.2,102.5
20.3,100.5
20.4,99.1
20.5,98.1
20.6,101.3
20.7,96.5
20.8,93.7
20.9,98.5
21,90.1
21.1,99.3
21.2,96.3
21.3,94.3
21.4,95.8
21.5,95.3
21.6,90.1
21.7,90.3
21.8,92.6
21.9,89.6
22,90.8
22.1,92.8
22.2,94.7
22.3,85.5
22.4,86.8
22.5,90.1
22.6,88.4
22.7,90
22.8,91.9
22.9,83.8
23,85.1
23.1,86.6
23.2,85.4
23.3,80.4
23.4,83.1
23.5,77.6
23.6,78.4
23.7,85
23.8,84.1
23.9,83.6
24,85.1
24.1,78.1
24.2,78.9
24.3,79.3
24.4,83.4
24.5,79.5
24.6,76.9
24.7,75.9
24.8,81.6
24.9,75.5
25,76.6
