theta,I
2,34.2
2.1,38.2
2.2,43.8
2.3,51.3
2.4,58.5
2.5,71.1
2.6,81.1
2.7,84.1
2.8,92.1
2.9,94.5
3,111.6
3.1,114.7
3.2,116.1
3.3,117
3.4,127.6
3.5,114.6
3.6,125.1
3.7,121.4
3.8,130.1
3.9,132
4,131.2
4.1,128.9
4.2,141.9
4.3,148.7
4.4,157.1
4.5,166.8
4.6,160.2
4.7,174.8
4.8,185.6
4.9,203
5,224.1
5.1,251.5
5.2,259.6
5.3,257.5
5.4,254
5.5,258.1
5.6,252.9
5.7,245.9
5.8,226.6
5.9,208.5
6,189.3
6.1,186.7
6.2,160
6.3,131
6.4,105.4
6.5,104
6.6,96.3
6.7,98.6
6.8,97.5
6.9,95.8
7,88
7.1,92
7.2,90.6
7.3,91.6
7.4,82.4
7.5,84.9
7.6,73.7
7.7,77.2
7.8,71
7.9,75.5
8,73
8.1,68.3
8.2,68.2
8.3,67.2
8.4,63.3
8.5,65.9
8.6,66.4
8.7,64.1
8.8,62.8
8.9,58.7
9,60.1
9.1,58.6
9.2,55.6
9.3,59.6
9.4,54.3
9.5,59.3
9.6,57.5
9.7,58.5
9.8,59.7
9.9,52.5
10,50.3
10.1,57.5
10.2,56
10.3,50.3
10.4,51.8
10.5,53.1
10.6,57.4
10.7,53.8
10.8,54.9
10.9,56
11,57.3
11.1,56.9
11.2,57.4
11.3,60.3
