theta,I
2,41.9
2.1,43.2
2.2,51.7
2.3,48.2
2.4,54
2.5,55.8
2.6,59.8
2.7,64
2.8,67.7
2.9,67.4
3,70.2
3.1,84.3
3.2,81.9
3.3,81.3
3.4,94.3
3.5,98.8
3.6,95.5
3.7,97.1
3.8,104.5
3.9,107.6
4,110.8
4.1,114.1
4.2,115.6
4.3,120
4.4,120
4.5,131.5
4.6,129.7
4.7,135.7
4.8,136.6
4.9,137.2
5,135.2
5.1,136.7
5.2,145.8
5.3,150.9
5.4,146.7
5.5,159.5
5.6,157.6
5.7,159.2
5.8,153.5
5.9,160.3
6,168.3
6.1,168.4
6.2,167.7
6.3,176.3
6.4,178.4
6.5,179.1
6.6,178
6.7,178.1
6.8,188.2
6.9,178
7,186.6
7.1,195.8
7.2,195.9
7.3,192.5
7.4,195.8
7.5,197.6
7.6,199.7
7.7,193
7.8,192.5
7.9,207.1
8,204.7
8.1,193.6
8.2,195.6
8.3,203.9
8.4,196.8
8.5,202
8.6,192.3
8.7,187.5
8.8,197.7
8.9,184.2
9,193.1
9.1,200.8
9.2,196
9.3,197.4
9.4,195.4
9.5,203.9
9.6,203.6
9.7,194
9.8,186.2
9.9,181
10,189.4
10.1,183.2
10.2,182
10.3,187.6
10.4,188.2
10.5,182
10.6,185.1
10.7,179
10.8,180.3
10.9,186.7
11,180.8
11.1,189
11.2,181.6
11.3,182.9
11.4,185.5
11.5,179
11.6,186.6
11.7,180.5
11.8,167.3
11.9,187
12,183.6
12.1,183
12.2,182.5
12.3,181.2
12.4,177.6
12.5,171.5
12.6,185.1
12.7,180.8
12.8,181.3
12.9,173.2
13,178.7
13.1,168.4
13.2,179.6
13.3,180
13.4,182.5
13.5,169.8
13.6,179.8
13.7,176.1
13.8,175.8
13.9,174.6
14,177.9
14.1,171.4
14.2,170.1
14.3,169.3
14.4,176.7
14.5,172.3
14.6,167.4
14.7,170.6
14.8,170.1
14.9,174.2
15,171.1
15.1,173
15.2,175.4
15.3,171.4
15.4,171.1
15.5,169.6
15.6,169.9
15.7,172.9
15.8,176.4
15.9,170.3
16,172.8
16.1,173.3
16.2,161.8
16.3,173
16.4,176.6
16.5,171.1
16.6,166.7
16.7,177.4
16.8,173.2
16.9,177.1
17,164
17.1,172.2
17.2,179
17.3,171.6
17.4,172.2
17.5,167.4
17.6,169.1
17.7,177.3
17.8,172.5
17.9,166.8
18,170.2
18.1,163.7
18.2,175.5
18.3,166.2
18.4,176.8
18.5,173.7
18.6,169.7
18.7,163.1
18.8,177.3
18.9,168.3
19,168.1
19.1,172.4
19.2,169.9
19.3,174.1
19.4,173.4
19.5,163.1
19.6,168.1
19.7,166.1
19.8,168.3
19.9,175.6
20,172.2
20.1,175.2
20.2,173.2
20.3,176.3
20.4,176.2
20.5,163.4
20.6,171.3
20.7,167.3
20.8,176
20.9,169.2
21,164.1
21.1,163.7
21.2,167.8
21.3,156.5
21.4,164
21.5,170.7
21.6,164.1
21.7,164
21.8,169.5
21.9,160.4
22,166.6
22.1,166.7
22.2,165.5
22.3,166.4
22.4,160.6
22.5,167.3
22.6,164.1
22.7,168.2
22.8,165.9
22.9,161.8
23,174
23.1,167
23.2,169.8
23.3,168.4
23.4,162.6
23.5,172.2
23.6,172.5
23.7,166.4
23.8,168.2
23.9,172.9
24,165.6
24.1,159.8
24.2,167.4
24.3,165
24.4,167.3
24.5,169.1
24.6,165.7
24.7,166.1
24.8,167.6
24.9,169.5
25,171
