EMpyt 1
EMpyt 2
EMpyt 3
EMpyt 4
﻿"Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	-0.0022	-0.0018
0.09	-0.0022	0.00015
0.2	-0.00225	-0.00255
0.29	-0.0022	-0.0012
0.4	-0.0022	-0.00255
0.5	-0.00225	-0.0006
0.59	-0.0022	0.00015
0.7	-0.00225	-0.0024
0.79	-0.00225	0.0003
0.9	-0.0022	-0.0015
1	-0.00225	-0.0015
1.09	-0.0022	0.0003
1.2	-0.00225	-0.00105
1.29	-0.00225	0.0021
1.4	-0.0022	-0.00075
1.5	-0.00225	-0.0003
1.61	-0.0023	0.0015
1.7	-0.00245	-0.00195
1.79	-0.00305	0.0009
1.9	-0.00365	-0.0012
2	-0.004	0.0003
2.11	-0.0045	0.00015
2.19	-0.00485	-0.0006
2.31	-0.0052	-0.00135
2.41	-0.0057	-0.00015
2.5	-0.0059	-0.0018
2.59	-0.00605	-0.00075
2.7	-0.00625	-0.00195
2.8	-0.0065	0.0006
2.9	-0.0068	0.0009
3	-0.00695	-0.00255
3.09	-0.007	0.00165
3.2	-0.00715	-0.00195
3.3	-0.00705	-0.0009
3.4	-0.0072	-0.0006
3.5	-0.0073	-0.0033
3.59	-0.00735	-0.00015
3.7	-0.00745	0.0003
3.8	-0.0076	0.00015
3.9	-0.00765	0.00105
4	-0.0077	-0.00375
4.09	-0.00775	0.00045
4.2	-0.0078	-0.00135
4.3	-0.0079	0.00105
4.4	-0.008	0.0009
4.5	-0.00805	-0.0003
4.6	-0.0081	-0.00105
4.7	-0.00815	0.0006
4.81	-0.0082	-0.0006
4.9	-0.00825	-0.00195
4.99	-0.0083	0.0012
5.1	-0.0085	-0.00015
5.2	-0.0085	-0.00195
5.29	-0.00855	0.00135
5.4	-0.00865	-0.00345
5.49	-0.0087	-0.0015
5.6	-0.0088	-0.0009
5.7	-0.00885	-0.0006
5.79	-0.009	-0.0012
5.9	-0.0091	-0.0018
5.99	-0.0092	-0.0021
6.1	-0.0091	-0.00165
6.2	-0.0093	-0.0018
6.29	-0.00935	0.00045
6.4	-0.00935	-0.00195
6.49	-0.00945	-0.0015
6.59	-0.0094	0.00105
6.7	-0.0095	-0.0024
6.81	-0.0096	0.00195
6.9	-0.00955	-0.00135
6.99	-0.0097	-0.0012
7.1	-0.00965	-0.00105
7.21	-0.00975	-0.00255
7.29	-0.00975	-0.00075
7.4	-0.00985	-0.0009
7.5	-0.00985	-0.0012
7.6	-0.01	-0.0006
7.7	-0.01005	-0.0018
7.79	-0.01015	-0.0003
7.9	-0.0102	-0.0012
8	-0.0103	-0.00255
8.1	-0.0104	-0.00135
8.2	-0.0105	-0.00135
8.3	-0.0105	-0.00045
8.4	-0.0106	-0.00225
8.51	-0.0106	0.0012
8.6	-0.0107	-0.0009
8.69	-0.01075	-0.0006
8.8	-0.01075	0.00135
8.9	-0.0108	-0.00195
9.01	-0.01085	0.00045
9.11	-0.0109	-0.0006
9.2	-0.0109	-0.0012
9.3	-0.01085	-0.00105
9.41	-0.01095	0
9.5	-0.01115	-0.00135
9.59	-0.01125	-0.00255
9.7	-0.0113	0
9.8	-0.01125	-0.0021
9.91	-0.01125	0.0015
10	-0.01125	-0.0015
10.09	-0.01125	0.0003
10.2	-0.0113	0.00045
10.3	-0.0113	-0.0021
10.41	-0.01135	-0.0003
10.5	-0.01125	-0.00105
10.59	-0.01125	-0.00105
10.7	-0.0113	-0.00105
10.8	-0.0113	-0.00435
10.91	-0.01125	0.0021
11	-0.0113	-0.0015
11.09	-0.01135	-0.00045
11.2	-0.01135	0.0027
11.29	-0.01135	-0.00015
11.4	-0.0113	-0.00015
11.49	-0.01135	-0.0018
11.6	-0.01135	0.0006
11.7	-0.0113	-0.00075
11.79	-0.01135	-0.0012
11.9	-0.0113	0.0009
11.99	-0.0113	-0.00105
12.1	-0.01135	0.00135
12.2	-0.01135	-0.00195
12.29	-0.01135	-0.00045
12.41	-0.0113	-0.00105
12.5	-0.0113	0
12.6	-0.01135	-0.00225
12.69	-0.01135	0
12.8	-0.01135	-0.00105
12.89	-0.0114	-0.0015
13	-0.0114	0.00015
13.1	-0.01135	-0.0021
13.2	-0.01135	-0.0003
13.3	-0.01145	-0.00045
13.39	-0.0114	-0.00015
13.5	-0.0114	0.00075
13.6	-0.0114	-0.0018
13.7	-0.01135	0.00105
13.8	-0.0114	-0.0006
13.89	-0.0114	-0.00165
14	-0.01135	0.0009
14.1	-0.01145	-0.00435
14.2	-0.01145	-0.0006
14.3	-0.0114	-0.0018
14.39	-0.01145	-0.00135
14.5	-0.0114	0.00075
14.6	-0.01145	-0.0009
14.7	-0.0114	0.00165
14.79	-0.0115	-0.00165
14.9	-0.01145	0.00045
15.01	-0.0114	-0.00135
15.1	-0.0115	0.00135
15.19	-0.0114	-0.00165
15.3	-0.0115	0.00075
15.41	-0.01145	-0.00225
15.5	-0.0115	0.0018
15.59	-0.0114	-0.0021
15.7	-0.0114	-0.0003
15.8	-0.0114	-0.0015
15.89	-0.01145	-0.00165
16	-0.0114	0.00195
16.1	-0.0115	-0.0015
16.2	-0.0115	0.00045
16.29	-0.0115	-0.00015
16.4	-0.01145	0.0024
16.49	-0.01145	-0.00135
16.6	-0.01145	-0.0006
16.7	-0.0114	-0.0009
