U,Run1,Run2,Run3
-30,201,191,162
-29,205,194,167
-28,211,199,171
-27,216,203,174
-26,220,206,178
-25,224,212,183
-24,227,214,187
-23,231,218,191
-22,236,224,195
-21,240,226,200
-20,243,229,203
-19,246,233,208
-18,250,238,212
-17,255,243,216
-16,257,246,220
-15,262,250,224
-14,266,253,228
-13,268,259,232
-12,271,261,238
-11,275,266,241
-10,278,267,244
-9,282,271,249
-8,285,276,253
-7,288,277,255
-6,291,279,260
-5,294,284,263
-4,296,287,265
-3,299,289,267
-2,301,292,271
-1,305,297,275
-0.01,315,304,282
0.01,307,299,282
1,333,318,300
2,360,350,333
3,379,374,360
4,396,394,379
5,409,405,396
6,420,416,411
7,430,430,423
8,440,439,434
9,449,445,443
10,457,453,451
11,463,460,460
12,471,465,470
13,480,470,471
14,483,476,478
15,486,483,482
16,491,487,483
17,493,490,487
18,496,491,492
19,500,490,497
20,507,493,497
21,509,495,499
22,512,497,501
23,513,500,505
24,509,500,508
25,512,502,511
26,513,504,513
27,516,505,514
28,,506,515
29,,510,518
30,,512,519
